2020/02/12 00:00:03.668 [I] [server.go:107]  Get conn remote addr = 127.0.0.1:40732
2020/02/12 00:00:03.766 [I] [server.go:117]  Get conn cid 18
2020/02/12 00:00:03.766 [I] [connmanager.go:36]  connection add to ConnManager successfully: conn num = 1
2020/02/12 00:00:03.766 [I] [server.go:178]  ---> CallOnConnStart....
2020/02/12 00:00:03.766 [I] [connection.go:68]  gameServer [Writer Goroutine is running]
2020/02/12 00:00:03.766 [I] [enter.go:23]  ClientConnStart:127.0.0.1:40732
2020/02/12 00:00:03.766 [I] [connection.go:96]  gameServer [Reader Goroutine is running]
2020/02/12 00:00:13.778 [I] [masterclientrouter.go:30]  ServerListAck begin: MasterClient.ServerListAck
2020/02/12 00:00:13.779 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436810 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436783 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436785 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436785 1}]
2020/02/12 00:00:13.779 [I] [masterclientrouter.go:40]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436810 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436783 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436785 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436785 1}]}
2020/02/12 00:00:13.781 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:00:24.366 [E] [connection.go:109]  gameServer read msg head error EOF
2020/02/12 00:00:24.367 [I] [connection.go:171]  gameServer Conn Stop()...ConnID = 18
2020/02/12 00:00:24.367 [I] [server.go:186]  ---> CallOnConnStop....
2020/02/12 00:00:24.367 [I] [enter.go:43]  ClientConnStop:127.0.0.1:40732
2020/02/12 00:00:24.368 [I] [connmanager.go:48]  connection Remove ConnID = 18, successfully: conn num = 0
2020/02/12 00:00:24.368 [I] [connection.go:154]  gameServer 127.0.0.1:40732 [conn Reader exit!]
2020/02/12 00:00:24.368 [I] [connection.go:87]  gameServer 127.0.0.1:40732 [conn Writer exit!]
2020/02/12 00:00:28.815 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:00:43.788 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:00:48.767 [I] [masterclientrouter.go:30]  ServerListAck begin: MasterClient.ServerListAck
2020/02/12 00:00:48.768 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436840 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436843 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436845 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436845 1}]
2020/02/12 00:00:48.768 [I] [masterclientrouter.go:40]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436840 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436843 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436845 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436845 1}]}
2020/02/12 00:00:58.787 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:01:13.779 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:01:23.830 [I] [masterclientrouter.go:30]  ServerListAck begin: MasterClient.ServerListAck
2020/02/12 00:01:23.831 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436870 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436873 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436875 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436875 1}]
2020/02/12 00:01:23.831 [I] [masterclientrouter.go:40]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436870 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436873 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436875 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436875 1}]}
2020/02/12 00:01:28.766 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:01:43.775 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:01:58.748 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:01:58.749 [I] [masterclientrouter.go:30]  ServerListAck begin: MasterClient.ServerListAck
2020/02/12 00:01:58.749 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436900 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436903 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436905 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436905 1}]
2020/02/12 00:01:58.749 [I] [masterclientrouter.go:40]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436900 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436903 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436905 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436905 1}]}
2020/02/12 00:02:13.751 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:02:28.769 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:02:33.749 [I] [masterclientrouter.go:30]  ServerListAck begin: MasterClient.ServerListAck
2020/02/12 00:02:33.749 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436930 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436933 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436935 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436935 1}]
2020/02/12 00:02:33.749 [I] [masterclientrouter.go:40]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 8000 3 1 0 1581436930 0} gameServer01:{gameServer gameServer01 127.0.0.1 8004 4 0 0 1581436933 2} loginServer01:{loginServer loginServer01 127.0.0.1 8005 1 1 0 1581436935 3} worldServer01:{worldServer worldServer01 127.0.0.1 8003 2 0 0 1581436935 1}]}
2020/02/12 00:02:42.004 [I] [server.go:107]  Get conn remote addr = 127.0.0.1:40909
2020/02/12 00:02:42.004 [I] [server.go:117]  Get conn cid 19
2020/02/12 00:02:42.004 [I] [connmanager.go:36]  connection add to ConnManager successfully: conn num = 1
2020/02/12 00:02:42.004 [I] [server.go:178]  ---> CallOnConnStart....
2020/02/12 00:02:42.005 [I] [connection.go:96]  gameServer [Reader Goroutine is running]
2020/02/12 00:02:42.005 [I] [connection.go:68]  gameServer [Writer Goroutine is running]
2020/02/12 00:02:42.005 [I] [enter.go:23]  ClientConnStart:127.0.0.1:40909
2020/02/12 00:02:43.770 [I] [masterclientrouter.go:26]  Pong:MasterClient.Pong
2020/02/12 00:02:44.579 [E] [connection.go:109]  gameServer read msg head error EOF
2020/02/12 00:02:44.580 [I] [connection.go:171]  gameServer Conn Stop()...ConnID = 19
2020/02/12 00:02:44.580 [I] [server.go:186]  ---> CallOnConnStop....
2020/02/12 00:02:44.580 [I] [enter.go:43]  ClientConnStop:127.0.0.1:40909
2020/02/12 00:02:44.581 [I] [connmanager.go:48]  connection Remove ConnID = 19, successfully: conn num = 0
2020/02/12 00:02:44.581 [I] [connection.go:154]  gameServer 127.0.0.1:40909 [conn Reader exit!]
2020/02/12 00:02:44.581 [I] [connection.go:87]  gameServer 127.0.0.1:40909 [conn Writer exit!]
